permission_group_id:lookup_permission_group(),service_id:lookup_service()
haii-thaiwater30.agency.agency_summary,POST:v1/thaiwater30/backoffice/dataimport_config
haii-thaiwater30.agency.agency_summary,PUT:v1/thaiwater30/backoffice/dataimport_config
haii-thaiwater30.agency.agency_summary,GET:v1/thaiwater30/backoffice/data_integration_report
haii-thaiwater30.agency.agency_summary,DELETE:v1/thaiwater30/backoffice/data_management
haii-thaiwater30.agency.agency_summary,GET:v1/thaiwater30/backoffice/data_management
haii-thaiwater30.agency.agency_summary,PATCH:v1/thaiwater30/backoffice/data_management
haii-thaiwater30.agency.agency_summary,POST:v1/thaiwater30/backoffice/data_management
haii-thaiwater30.agency.agency_summary,PUT:v1/thaiwater30/backoffice/data_management
haii-thaiwater30.agency.agency_summary,DELETE:v1/thaiwater30/backoffice/dba
haii-thaiwater30.agency.agency_summary,GET:v1/thaiwater30/backoffice/dba
haii-thaiwater30.agency.agency_summary,POST:v1/thaiwater30/backoffice/dba
haii-thaiwater30.agency.agency_summary,DELETE:v1/thaiwater30/backoffice/event_management
haii-thaiwater30.agency.agency_summary,GET:v1/thaiwater30/backoffice/event_management
haii-thaiwater30.agency.agency_summary,POST:v1/thaiwater30/backoffice/event_management
haii-thaiwater30.agency.agency_summary,PUT:v1/thaiwater30/backoffice/event_management
haii-thaiwater30.agency.agency_summary,DELETE:v1/thaiwater30/backoffice/metadata
haii-thaiwater30.agency.agency_summary,GET:v1/thaiwater30/backoffice/metadata
haii-thaiwater30.agency.agency_summary,POST:v1/thaiwater30/backoffice/metadata
haii-thaiwater30.agency.agency_summary,PUT:v1/thaiwater30/backoffice/metadata
haii-thaiwater30.agency.agency_summary,GET:v1/thaiwater30/backoffice/tool
haii-thaiwater30.agency.agency_summary,PATCH:v1/thaiwater30/backoffice/tool
haii-thaiwater30.agency.agency_summary,PUT:v1/thaiwater30/backoffice/tool
haii-thaiwater30.agency.agency_summary,POST:v1/thaiwater30/convertdata
haii-thaiwater30.agency.agency_summary,DELETE:v1/thaiwater30/backoffice/data_service
haii-thaiwater30.agency.agency_summary,GET:v1/thaiwater30/data_service
haii-thaiwater30.agency.agency_summary,GET:v1/thaiwater30/backoffice/data_service
haii-thaiwater30.agency.agency_summary,POST:v1/thaiwater30/data_service
haii-thaiwater30.agency.agency_summary,PUT:v1/thaiwater30/backoffice/data_service
haii-thaiwater30.agency.agency_summary,GET:v1/thaiwater30/frontend/shared
haii-thaiwater30.agency.agency_summary,GET:v1/thaiwater30/guest
haii-thaiwater30.agency.agency_summary,GET:v1/thaiwater30/iframe
haii-thaiwater30.agency.agency_summary,DELETE:v1/thaiwater30/manipulate
haii-thaiwater30.agency.agency_summary,GET:v1/thaiwater30/manipulate
haii-thaiwater30.agency.agency_summary,POST:v1/thaiwater30/manipulate
haii-thaiwater30.agency.agency_summary,PUT:v1/thaiwater30/manipulate
haii-thaiwater30.agency.agency_summary,GET:v1/thaiwater30/public
haii-thaiwater30.agency.agency_summary,GET:v1/thaiwater30/shared
haii-thaiwater30.agency.agency_summary,GET:v1/thaiwater30/shared/image
haii-thaiwater30.agency.agency_summary,DELETE:v1/uac/
haii-thaiwater30.agency.agency_summary,GET:v1/uac/
haii-thaiwater30.agency.agency_summary,POST:v1/uac/
haii-thaiwater30.agency.agency_summary,PUT:v1/uac/
haii-thaiwater30.agency.agency_summary,PATCH:v1/user/
haii-thaiwater30.agency.agency_summary,DELETE:v1/user/profile
haii-thaiwater30.agency.agency_summary,POST:v1/user/user
haii-thaiwater30.backoffice.apis.key_access_mgmt,GET:v1/apidoc/
haii-thaiwater30.backoffice.apis.key_access_mgmt,GET:v1/auth/account-info
haii-thaiwater30.backoffice.apis.key_access_mgmt,POST:v1/auth/login
haii-thaiwater30.backoffice.apis.key_access_mgmt,POST:v1/auth/logout
haii-thaiwater30.backoffice.apis.key_access_mgmt,GET:v1/auth/profile-image
haii-thaiwater30.backoffice.apis.key_access_mgmt,PUT:v1/auth/profile
haii-thaiwater30.backoffice.apis.key_access_mgmt,GET:v1/auth/resetpassword
