"permission_group_id:lookup_permission_group()"|"permission_subgroup_id:lookup_permission_group()"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.backoffice.tools.mgmt_display"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.backoffice.metadata.backoffice.method"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.backoffice.metadata.category"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.backoffice.metadata.data_format"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.backoffice.metadata.department"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.backoffice.metadata.frequency"
"haii-thaiwater30.cim system (Test render menu)"|"haii-thaiwater30.backoffice.dba.delete_data"
"haii-thaiwater30.CimSystemThailand Test"|"haii-thaiwater30.shopping"
"haii-thaiwater30.event-mgmt-user"|"haii-thaiwater30.Event_Management"
"haii-thaiwater30.CimSystem_Test"|"haii-thaiwater30.shopping"
"haii-thaiwater30.Test Email"|"haii-thaiwater30.uac"
"haii-thaiwater30.thaiwater30-Shopping"|"haii-thaiwater30.shopping"
"haii-thaiwater30.thaiwater30-Shopping"|"haii-thaiwater30.backoffice.dsr.data_service_to_agency"
"haii-thaiwater30.thaiwater30-Shopping"|"haii-thaiwater30.backoffice.dsr.data_service_upload_result"
"haii-thaiwater30.thaiwater30-Shopping"|"haii-thaiwater30.bof.metadata"
"haii-thaiwater30.CimSystem2Thailand Test"|"haii-thaiwater30.shopping"
"haii-thaiwater30.thaiwater30-Shopping"|"haii-thaiwater30.backoffice.metadata.agency"
"haii-thaiwater30.thaiwater30-Shopping"|"haii-thaiwater30.backoffice.metadata.category"
"haii-thaiwater30.thaiwater30-Shopping"|"haii-thaiwater30.backoffice.metadata.data_format"
"haii-thaiwater30.thaiwater30-Shopping"|"haii-thaiwater30.backoffice.metadata.department"
"haii-thaiwater30.thaiwater30-Shopping"|"haii-thaiwater30.backoffice.metadata.frequency"
"haii-thaiwater30.thaiwater30-Shopping"|"haii-thaiwater30.backoffice.metadata.hydroinfo"
"haii-thaiwater30.thaiwater30-Shopping"|"haii-thaiwater30.backoffice.metadata.metadata"
"haii-thaiwater30.thaiwater30-Shopping"|"haii-thaiwater30.realm.backoffice"
"haii-thaiwater30.thaiwater30-Shopping"|"haii-thaiwater30.backoffice.apis.key_access_mgmt"
"haii-thaiwater30.thaiwater30-Shopping"|"haii-thaiwater30.backoffice.apis.monitor"
"haii-thaiwater30.thaiwater30-Shopping"|"haii-thaiwater30.backoffice.apis.monitor_api_service"
"haii-thaiwater30.thaiwater30-Shopping"|"haii-thaiwater30.bof.data_service_register"
"haii-thaiwater30.thaiwater30-Shopping"|"haii-thaiwater30.backoffice.dsr.data_service_approve"
"haii-thaiwater30.thaiwater30-Shopping"|"haii-thaiwater30.backoffice.dsr.data_service_management"
"haii-thaiwater30.thaiwater30-Shopping"|"haii-thaiwater30.backoffice.dsr.data_service_summary"
"haii-thaiwater30.thaiwater30-Shopping"|"haii-thaiwater30.backoffice.metadata.metadata_status"
"haii-thaiwater30.x"|"haii-thaiwater30.backoffice.dsr.data_service_management"
"haii-thaiwater30.thaiwater30-Shopping"|"haii-thaiwater30.backoffice.metadata.backoffice.method"
"haii-thaiwater30.thaiwater30-Shopping"|"haii-thaiwater30.backoffice.metadata.ministry"
"haii-thaiwater30.thaiwater30-Shopping"|"haii-thaiwater30.backoffice.metadata.service_method"
"haii-thaiwater30.thaiwater30-Shopping"|"haii-thaiwater30.backoffice.metadata.subcat"
"haii-thaiwater30.thaiwater30-Shopping"|"haii-thaiwater30.backoffice.metadata.summary_meta"
"haii-thaiwater30.thaiwater30-Shopping"|"haii-thaiwater30.backoffice.metadata.unit"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.backoffice.metadata.hydroinfo"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.backoffice.metadata.metadata"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.backoffice.metadata.metadata_status"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.backoffice.metadata.ministry"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.backoffice.metadata.service_method"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.backoffice.metadata.subcat"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.backoffice.metadata.summary_meta"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.backoffice.metadata.unit"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.backoffice.dir.report_event"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.backoffice.dir.report_import"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.backoffice.dir.report_import_by_date"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.backoffice.dir.report_import_by_month"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.backoffice.dir.report_import_by_year"
"haii-thaiwater30.thaiwater30-Shopping"|"haii-thaiwater30.bof.apis"
"haii-thaiwater30.UserShopping"|"haii-thaiwater30.shopping"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.backoffice.dsr.data_service_approve"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.backoffice.dsr.data_service_management"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.backoffice.dsr.data_service_summary"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.backoffice.dsr.data_service_to_agency"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.แสดงผลข้อมูล"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.data_service"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.data_service.history"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.backoffice.dsr.data_service_upload_result"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.backoffice.metadata.agency"
"haii-thaiwater30.System Administrator Group"|"haii-thaiwater30.backoffice.metadata.subcat"
"haii-thaiwater30.System Administrator Group"|"haii-thaiwater30.backoffice.metadata.summary_meta"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.backoffice.metadata.method"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.metadata.metadata_status"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.metadata.ministry"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.metadata.service_method"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.metadata.subcat"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.metadata.summary_meta"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.metadata.unit"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.tools.check_image"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.tools.ignore_data"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.tools.mgmt_cache"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.tools.mgmt_display"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.แสดงผลข้อมูล"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.data_service"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.data_service.history"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.agc.agency"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.agency.agency_shopping"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.agency.agency_summary"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.dir.report_event"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.dir.report_import"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.dir.report_import_by_date"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.dir.report_import_by_month"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.dir.report_import_by_year"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.metadata.method"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.dba.delete_data"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.dba.manage_partition"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.dir.report_event"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.dir.report_import"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.dir.report_import_by_date"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.dir.report_import_by_month"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.dir.report_import_by_year"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.dmgmt.check_data_error"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.dmgmt.check_latest_data"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.dmgmt.check_metadata"
